ID   SpT     S/N SpT     S/N ri_c ri_o  Eri  err_Eri EW(Ha) fD   Eri_cs Eri_is err_Eri_is EBV_is err_EBV_is R13  err_R13 086_SFD98 RF09 Sale14
158  ""      ""  Late-B  15  0.59 -0.04 0.63 0.04   -12     0.04 0.07   0.56   0.05       0.86   0.08       ""   ""      0.70      0.41 0.85
159  ""      ""  B8      27  0.43 -0.04 0.47 0.02   -53     0.18 0.27   0.20   0.06       0.31   0.09       ""   ""      0.71      0.44 0.93
160  B7IV    57  Late-B  17  0.58 -0.06 0.64 0.02   -19     0.06 0.10   0.54   0.04       0.83   0.06       0.99 0.07    0.82      0.56 1.24
161  ""      ""  B7      37  0.66 -0.06 0.72 0.02   -11     0.04 0.07   0.65   0.04       1.00   0.06       ""   ""      0.62      0.61 1.41
162  ""      ""  Late-B  24  0.61 -0.04 0.65 0.04   -17     0.06 0.10   0.55   0.05       0.85   0.08       ""   ""      0.59      0.51 0.91
163  ""      ""  B5      34  0.53 -0.08 0.61 0.01   -15     0.05 0.07   0.54   0.03       0.83   0.05       ""   ""      0.95      0.43 0.93
164  B2V     21  cont+Ba  7  1.03 -0.13 1.16 0.02   -76     0.25 0.24   0.92   0.05       1.42   0.08       1.35 0.08    0.81      0.58 1.34
165  ""      ""  Late-B  11  0.62 -0.04 0.66 0.04   -18     0.06 0.10   0.56   0.05       0.86   0.08       ""   ""      0.87      0.57 1.12
166  ""      ""  B3      47  0.57 -0.12 0.69 0.02   -37     0.12 0.14   0.55   0.05       0.85   0.08       ""   ""      0.38      0.39 0.82
167  B2III   47  Mid-B   34  0.67 -0.13 0.80 0.02   -17     0.06 0.07   0.73   0.03       1.12   0.05       1.02 0.07    0.28      0.28 0.86
168  ""      ""  Late-B  23  0.57 -0.04 0.61 0.04   -24     0.08 0.14   0.47   0.06       0.72   0.09       ""   ""      0.87      0.46 0.88
169* B9V     38  Late-B  22  0.57 -0.02 0.59 0.14   -13     0.04 0.08   0.51   0.15       0.78   0.23       0.81 0.07    1.02      0.46 1.41
